Date,Day,Open,High,Low,Close,utPrice,utOpen,utHigh,utLow,twiiOpen,twiiHigh,twiiLow,twiiClose,tjPrice,tjOpen,tjHigh,tjLow,tnxOpen,tnxHigh,tnxLow,tnxClose,spyOpen,spyHigh,spyLow,spyClose,shcompOpen,shcompHigh,shcompLow,shcompClose,2330Open,2330High,2330Low,2330Close,nasdaqOpen,nasdaqHigh,nasdaqLow,nasdaqClose,n225Open,n225High,n225Low,n225Close,hsiOpen,hsiHigh,hsiLow,hsiClose,hsceOpen,hsceHigh,hsceLow,hsceClose,dowOpen,dowHigh,dowLow,dowClose,daxOpen,daxHigh,daxLow,daxClose,cacOpen,cacHigh,cacLow,cacClose,spyVolume,2330Volume,nasdaqVolume,n225Volume,hsiVolume,dowVolume,daxVolume,utChange %,tjChange %,tw_holiday,twii_holiday,tnx_holiday,spy_holiday,shcomp_holiday,s2330_holiday,nasdaq_holiday,n225_holiday,hsi_holiday,hsce_holiday,dow_holiday,dax_holiday,cac_holiday
2002/10/2,3,4225,4236,4110,4113,34.92,34.91,35.02,34.87,4246.16,4260.41,4171.76,4171.76,3.513,3.512,3.527,3.505,3.717,3.756,3.689,3.7,843.77,851.93,826.5,827.91,1581.62,1581.62,1581.62,1581.62,31.7,32.009,30.852,18.147,1208.03,1222.72,1183.76,1187.3,9252.29,9293.86,9049.33,9049.33,9227.38,9241.86,9062.49,9109.35,1895.45,1902.49,1865,1879.19,7936.57,7969.37,7742.02,7755.61,2866.26,2974.34,2817.36,2926.74,2914.52,2958.92,2860.81,2940.84,1668900000,86896912799,1763700000,41500,282008800,322970000,107572400,0.17,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/10/3,4,4081,4094,4024,4044,34.94,34.92,35.04,34.8,4138.29,4140.23,4073.96,4075.98,3.506,3.512,3.518,3.493,3.66,3.733,3.653,3.684,827.91,840.02,817.25,818.95,1581.62,1581.62,1581.62,1581.62,30.312,30.312,29.078,17.103,1183.11,1197.96,1164.51,1165.56,9057.98,9087.96,8927.57,8936.43,9054.57,9106.9,8915,8984.32,1881.02,1881.49,1830.97,1848.04,7753.46,7913.47,7693.33,7717.19,2923.55,2939.69,2809.84,2813.3,2892.87,2950.8,2860.27,2861.04,1674500000,98992179092,1647320000,57500,263433200,316980000,69527300,0.06,-0.21,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/10/4,5,4035,4099,4006,4049,34.94,34.93,35,34.88,4027.46,4098.57,4014.21,4067.79,3.522,3.502,3.525,3.492,3.67,3.794,3.63,3.685,818.95,825.9,794.1,800.58,1581.62,1581.62,1581.62,1581.62,28.384,29.772,28.384,17.239,1174.58,1175.75,1135.27,1139.9,8899.77,9027.55,8860.65,9027.55,8989.65,9065.52,8971.92,9051.37,1846.3,1851.75,1829.59,1833.96,7719.34,7784.81,7472.01,7528.4,2812.15,2847.42,2677.61,2714.62,2838.63,2854.96,2754.88,2765.9,1835930000,89524168076,1587030000,62100,236714600,338800000,86043000,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/10/7,1,4000,4000,3887,3896,35.01,34.96,35.11,34.89,4020.42,4020.42,3910.5,3924.04,3.546,3.52,3.55,3.509,3.624,3.663,3.609,3.63,800.58,808.21,782.96,785.28,1581.62,1581.62,1581.62,1581.62,28.924,28.924,27.767,16.332,1135.79,1145.79,1113.36,1119.4,8920.74,8920.74,8650.36,8688,8844.69,8936.34,8844.11,8931.4,1825.91,1825.91,1763.92,1784.63,7528.68,7637.91,7404.94,7422.84,2710.33,2710.33,2621.86,2667.39,2730.61,2772.03,2698.53,2733.56,1576500000,78537822777,1409850000,60900,240968000,300960000,87430000,0.2,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/10/8,2,3911,3965,3872,3965,35.07,35.05,35.17,34.96,3903.74,3975.98,3874.25,3964.28,3.541,3.543,3.55,3.528,3.632,3.661,3.561,3.636,785.28,808.86,779.5,798.55,1577.052,1577.052,1558.476,1562.993,26.996,27.613,26.919,16.15,1129.82,1144.13,1109.64,1129.22,8712.22,8798.94,8674.48,8708.9,8910.08,8989.68,8883.16,8977.41,1786.5,1795.05,1776.69,1785.33,7425.82,7622.66,7331.42,7501.49,2679.02,2723.37,2542.65,2622.09,2752.5,2786.57,2678.62,2694.23,1938430000,1.43E+11,1836990000,54400,247068200,377960000,97883900,0.17,-0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/10/9,3,3939,3994,3872,3872,35.085,35.05,35.145,35.01,3974.51,4031.57,3947.61,3947.61,3.513,3.537,3.543,3.507,3.597,3.616,3.563,3.58,798.55,798.55,775.8,776.76,1570.649,1571.523,1534.911,1535.366,27.458,29.001,27.227,16.332,1117.14,1135.89,1112.08,1114.11,8649.06,8651.66,8498.46,8539.34,8945.96,8986.01,8876.62,8977.35,1792.05,1805.73,1782.1,1795.81,7499.96,7500.03,7282.39,7286.27,2617.54,2620,2519.3,2597.88,2726.76,2729.18,2622.49,2656.45,1885030000,1.77E+11,1755730000,53900,222983800,377870000,107782000,0.04,-0.8,1,1,0,0,0,1,0,0,0,0,0,0,0
2002/10/11,5,3927,3949,3783,3818,35.11,35.08,35.22,35.06,4012.4,4014.63,3845.76,3850.04,3.528,3.521,3.542,3.51,3.682,3.817,3.668,3.813,803.92,843.27,803.92,835.32,1532.136,1536.873,1521.911,1524.051,28.539,28.692,27.382,16.196,1179.9,1220.12,1179.9,1210.47,8512.57,8611.4,8483.49,8529.61,8956.33,8990.76,8863.46,8965.73,1771.53,1773.07,1745.9,1768.58,7540.74,7901.26,7540.74,7850.29,2731.84,2930.74,2714.41,2930.74,2789.27,2902.27,2778.61,2902.27,1854130000,1.42E+11,1915390000,56500,221067800,351520000,135464100,0.14,0.18,0,0,0,0,0,0,0,1,1,1,0,0,0
2002/10/14,1,3869,3914,3850,3880,35.11,35.11,35.2,35.06,3885.68,3920.75,3847.1,3910.98,3.536,3.526,3.536,3.517,3.811,3.811,3.811,3.811,835.32,844.39,828.37,841.44,1522.872,1532.63,1509.136,1531.676,28.461,29.31,28.23,17.239,1198.5,1221.6,1193.42,1220.53,8512.57,8611.4,8483.49,8529.61,8956.33,8990.76,8863.46,8965.73,1771.53,1773.07,1745.9,1768.58,7848.21,7915,7745.7,7877.4,2928.63,2928.63,2793.93,2850.11,2876.48,2949.96,2849.73,2885.27,1200300000,1.44E+11,1204240000,56500,221067800,228340000,79204400,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/10/15,2,3930,4151,3925,4151,35.1,35.06,35.21,35.05,3980.07,4132.08,3979.34,4131.47,3.546,3.535,3.556,3.532,3.947,4.006,3.921,3.996,841.44,881.27,841.44,881.27,1531.581,1534.58,1522.101,1524.728,30.466,31.315,30.235,18.419,1259.87,1282.74,1259.87,1282.44,8641.66,8871.44,8641.66,8836.73,9153.25,9348.68,9131.41,9336.39,1772.49,1804.48,1763.07,1782.56,7883.23,8255.68,7883.23,8255.68,2856.58,3048.27,2856.58,3048.27,2928.59,3092.42,2923.66,3086.03,1956000000,1.08E+11,2009640000,46700,403547600,410910000,122488600,-0.03,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/10/16,3,4244,4245,4144,4198,34.91,35.12,35.17,34.86,4249.23,4249.54,4155.02,4223.32,3.56,3.546,3.563,3.538,4.016,4.065,3.978,4.034,881.27,881.27,856.28,860.02,1524.908,1548.525,1524.908,1537.388,33.475,33.475,32.703,19.689,1239.54,1253.61,1229.06,1232.42,8934.07,8974.79,8826.42,8884.87,9515.07,9515.07,9416.82,9459.14,1809.63,1832.19,1809.18,1824.37,8232.1,8232.1,8013.41,8036.03,3038.18,3106.29,2966.44,3008.93,3036.85,3180.29,3028.03,3067.7,1585000000,2.03E+11,1585220000,48600,341481400,385800000,115640200,-0.54,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
